owner_category,owner_name,parcels,total_lot_acres,avg_lot_sqft,total_assessed_value,cities
4 School / Public Ed,UNION S D ALMADEN,1,10.3,448269,0,SAN JOSE
4 School / Public Ed,CROTHERS S D & GLINIECKI C,1,0.1,6100,358420,PALO ALTO
5 State of California,CALIFORNIA STATE,118,12254.2,4524075,0,"CAMPBELL, CUPERTINO, MOUNTAIN VIEW, SAN JOSE, SANTA CLARA, SUNNYVALE"
5 State of California,STATE CALIFORNIA,42,1178.9,1249273,0,"CAMPBELL, SAN JOSE, SANTA CLARA"
5 State of California,STATE OF CALIFORNIA,15,2010.1,5837400,0,"CAMPBELL, SAN JOSE, SANTA CLARA, SUNNYVALE"
5 State of California,STATE OF CA DEPT OF TRANSPTN,5,8.5,73772,0,SAN JOSE
5 State of California,STATE OF CA,2,1.9,41812,0,SAN JOSE
5 State of California,STATE CALIFORNIA DEPARTMENT PARKS,1,136.5,5947246,0,SAN JOSE
5 State of California,STATE OF CALIFOR,1,8.0,349337,0,SAN JOSE
5 State of California,DEPT TRANSPORTATION & STATE CALIFORNIA,1,0.9,39204,0,CAMPBELL
5 State of California,STATE OF CALIFORNIA DEPT OF TRUST,1,0.0,51448,0,SAN JOSE
5 State of California,STATE OF CALIFORNIA RE UNIT,1,0.4,17548,0,SAN JOSE
